Time;PE1MAX;PE1MIN;PE2MAX;PE2MIN;PEEQMAX;PEEQMIN
0.425685;0.287373;0.29992;-0.24533;-0.266939;0.315076;0.333358
0.430685;0.290528;0.303166;-0.247956;-0.269851;0.318609;0.337076
0.435685;0.293681;0.306408;-0.250577;-0.27276;0.322141;0.340792
0.440685;0.29683;0.309645;-0.253194;-0.275665;0.325673;0.344507
0.445685;0.299976;0.312879;-0.255807;-0.278567;0.329203;0.348221
0.450685;0.303118;0.316108;-0.258415;-0.281465;0.332733;0.351933
0.455685;0.306258;0.319333;-0.261019;-0.284361;0.336262;0.355644
0.460685;0.309395;0.322554;-0.263619;-0.287253;0.339791;0.359354
0.465685;0.312529;0.325772;-0.266215;-0.290142;0.343319;0.363064
0.470685;0.31566;0.328985;-0.268807;-0.293028;0.346847;0.366772
0.475685;0.318788;0.332194;-0.271394;-0.29591;0.350374;0.370479
0.480685;0.321913;0.335399;-0.273977;-0.298789;0.3539;0.374185
0.485685;0.325035;0.3386;-0.276556;-0.301665;0.357426;0.377889
0.490685;0.328153;0.341796;-0.27913;-0.304537;0.360951;0.381592
0.495685;0.331269;0.344989;-0.281701;-0.307406;0.364476;0.385295
0.500685;0.334381;0.348177;-0.284267;-0.310272;0.368;0.388996
0.505685;0.337491;0.351362;-0.286829;-0.313135;0.371524;0.392697
0.510685;0.340598;0.354542;-0.289386;-0.315994;0.375048;0.396397
0.515685;0.343701;0.357718;-0.29194;-0.31885;0.37857;0.400096
0.520685;0.346802;0.360891;-0.294489;-0.321703;0.382093;0.403794
0.525685;0.349899;0.364058;-0.297033;-0.324552;0.385615;0.40749
0.530685;0.352993;0.367222;-0.299574;-0.327398;0.389136;0.411185
0.535685;0.356084;0.370381;-0.30211;-0.330241;0.392657;0.41488
0.540685;0.359172;0.373537;-0.304642;-0.33308;0.396178;0.418574
0.545685;0.362257;0.376689;-0.307169;-0.335916;0.399699;0.422267
0.550685;0.365339;0.379836;-0.309693;-0.338749;0.403219;0.42596
0.555685;0.368418;0.382979;-0.312212;-0.341578;0.406739;0.429651
0.560685;0.371493;0.386118;-0.314726;-0.344403;0.410258;0.433341
0.565685;0.374566;0.389253;-0.317236;-0.347225;0.413777;0.43703
0.570685;0.377635;0.392383;-0.319742;-0.350044;0.417295;0.440718
0.575685;0.380701;0.39551;-0.322243;-0.352859;0.420814;0.444406
0.580685;0.383764;0.398632;-0.324741;-0.355671;0.424332;0.448093
0.585685;0.386823;0.40175;-0.327233;-0.35848;0.427849;0.451779
0.590685;0.38988;0.404864;-0.329722;-0.361285;0.431367;0.455464
0.595685;0.392933;0.407974;-0.332206;-0.364087;0.434884;0.459148
0.600685;0.395983;0.41108;-0.334686;-0.366885;0.4384;0.462831
0.605685;0.39903;0.414181;-0.337161;-0.369679;0.441916;0.466513
0.610685;0.402074;0.417278;-0.339632;-0.37247;0.445432;0.470195
0.615685;0.405114;0.42037;-0.342098;-0.375257;0.448947;0.473875
0.620685;0.408151;0.423459;-0.34456;-0.378041;0.452462;0.477555
0.625685;0.411185;0.426543;-0.347018;-0.380822;0.455977;0.481234
0.630685;0.414216;0.429624;-0.349471;-0.383599;0.459492;0.484912
0.635685;0.417243;0.4327;-0.35192;-0.386372;0.463006;0.488589
0.640685;0.420266;0.435771;-0.354364;-0.389141;0.466519;0.492265
0.645685;0.423287;0.438838;-0.356804;-0.391907;0.470033;0.49594
0.650685;0.426304;0.441901;-0.359239;-0.394669;0.473545;0.499614
0.655685;0.429318;0.444959;-0.36167;-0.397428;0.477058;0.503288
0.660685;0.432328;0.448014;-0.364097;-0.400183;0.48057;0.50696
0.665685;0.435335;0.451064;-0.366519;-0.402934;0.484082;0.510632
0.670685;0.438339;0.45411;-0.368937;-0.405682;0.487594;0.514303
0.675685;0.441339;0.457151;-0.37135;-0.408426;0.491105;0.517973
0.680685;0.444336;0.460188;-0.373758;-0.411166;0.494615;0.521642
0.685685;0.447329;0.463221;-0.376162;-0.413902;0.498126;0.525309
0.690685;0.450319;0.466249;-0.378562;-0.416634;0.501635;0.528976
0.695685;0.453306;0.469273;-0.380957;-0.419363;0.505145;0.532642
0.700685;0.456289;0.472292;-0.383347;-0.422088;0.508653;0.536307
0.705685;0.459268;0.475307;-0.385734;-0.42481;0.512162;0.539971
0.710685;0.462245;0.478318;-0.388115;-0.427527;0.51567;0.543635
0.715685;0.465217;0.481325;-0.390493;-0.430241;0.519178;0.547297
0.720685;0.468186;0.484327;-0.392865;-0.432951;0.522685;0.550958
0.725685;0.471151;0.487324;-0.395233;-0.435657;0.526191;0.554618
0.730685;0.474113;0.490317;-0.397597;-0.438359;0.529697;0.558276
0.735685;0.477072;0.493306;-0.399956;-0.441057;0.533203;0.561934
0.740685;0.480026;0.49629;-0.402311;-0.443751;0.536708;0.565591
0.745685;0.482978;0.49927;-0.404661;-0.446442;0.540212;0.569247
0.750685;0.485925;0.502246;-0.407006;-0.449129;0.543716;0.572902
0.755685;0.48887;0.505217;-0.409347;-0.451811;0.54722;0.576556
0.760685;0.49181;0.508183;-0.411684;-0.45449;0.550723;0.580209
0.765685;0.494747;0.511145;-0.414016;-0.457165;0.554225;0.583861
0.770685;0.49768;0.514103;-0.416343;-0.459835;0.557726;0.587511
0.775685;0.500609;0.517056;-0.418666;-0.462502;0.561227;0.59116
0.780685;0.503535;0.520004;-0.420985;-0.465165;0.564728;0.594809
0.785685;0.506457;0.522948;-0.423299;-0.467824;0.568228;0.598456
0.790685;0.509376;0.525888;-0.425608;-0.470478;0.571727;0.602102
0.795685;0.512291;0.528823;-0.427913;-0.473129;0.575225;0.605747
0.800685;0.515202;0.531754;-0.430214;-0.475776;0.578723;0.60939
0.805685;0.518109;0.53468;-0.43251;-0.478419;0.58222;0.613033
0.810685;0.521013;0.537601;-0.434801;-0.481057;0.585716;0.616674
0.815685;0.523912;0.540518;-0.437088;-0.483692;0.589212;0.620314
0.820685;0.526808;0.543431;-0.43937;-0.486322;0.592706;0.623952
0.825685;0.529701;0.546339;-0.441648;-0.488948;0.5962;0.62759
0.830685;0.532589;0.549242;-0.443921;-0.491571;0.599694;0.631226
0.835685;0.535474;0.552141;-0.44619;-0.494189;0.603186;0.634861
0.840685;0.538355;0.555035;-0.448455;-0.496803;0.606678;0.638494
0.845685;0.541232;0.557925;-0.450715;-0.499413;0.610169;0.642127
0.850685;0.544106;0.56081;-0.45297;-0.502018;0.613659;0.645758
0.855685;0.546975;0.563691;-0.455221;-0.50462;0.617148;0.649387
0.860685;0.549841;0.566567;-0.457468;-0.507217;0.620636;0.653015
0.865685;0.552703;0.569438;-0.45971;-0.50981;0.624123;0.656642
0.870685;0.555561;0.572305;-0.461947;-0.512399;0.627609;0.660267
0.875685;0.558415;0.575167;-0.464181;-0.514984;0.631095;0.663892
0.880685;0.561265;0.578025;-0.466409;-0.517565;0.634579;0.667514
0.885685;0.564112;0.580878;-0.468634;-0.520141;0.638063;0.671135
0.890685;0.566954;0.583727;-0.470854;-0.522713;0.641545;0.674755
0.895685;0.569793;0.586571;-0.473069;-0.525281;0.645027;0.678373
0.900685;0.572628;0.589411;-0.47528;-0.527845;0.648507;0.68199
0.905685;0.575459;0.592245;-0.477487;-0.530404;0.651986;0.685605
0.910685;0.578285;0.595076;-0.479689;-0.53296;0.655465;0.689219
0.915685;0.581108;0.597901;-0.481887;-0.535511;0.658942;0.692831
0.920685;0.583928;0.600722;-0.484081;-0.538057;0.662418;0.696442
0.925685;0.586743;0.603539;-0.48627;-0.5406;0.665893;0.700051
0.930685;0.589554;0.606351;-0.488455;-0.543138;0.669366;0.703659
0.935685;0.592361;0.609158;-0.490635;-0.545672;0.672839;0.707265
0.940685;0.595164;0.611961;-0.492811;-0.548201;0.676311;0.710869
0.945685;0.597964;0.614759;-0.494983;-0.550727;0.679781;0.714472
0.950685;0.600759;0.617552;-0.497151;-0.553248;0.68325;0.718073
0.955685;0.603551;0.620341;-0.499314;-0.555764;0.686717;0.721672
0.960685;0.606338;0.623126;-0.501473;-0.558277;0.690184;0.72527
0.965685;0.609121;0.625905;-0.503627;-0.560785;0.693649;0.728866
0.970685;0.611901;0.62868;-0.505778;-0.563289;0.697113;0.73246
0.975685;0.614676;0.631451;-0.507924;-0.565788;0.700575;0.736052
0.980685;0.617448;0.634217;-0.510066;-0.568283;0.704036;0.739643
0.985685;0.620215;0.636978;-0.512204;-0.570774;0.707496;0.743232
0.990685;0.622979;0.639735;-0.514337;-0.57326;0.710954;0.746819
0.995685;0.625738;0.642487;-0.516466;-0.575742;0.714411;0.750405
