PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,5.557377721,182909515,3.767873536,138175316.8,3.65894429,144657749.3
,,5.59748448,182915115.6,3.807970727,138258704.2,3.699041366,144743937
,,5.637591239,182920094,3.848067917,138342091.5,3.739138385,144830746.9
,,5.677698055,182925072.3,3.888170895,138425478.9,3.779241133,144917556.9
,,5.717804872,182929739.5,3.928268086,138509177.3,3.819338209,145004989.2
,,5.757923205,182934095.6,3.968365277,138593187,3.859435171,145092421.4
,,5.798030021,182937829.3,4.00846241,138677507.8,3.89953219,145180164.8
,,5.838136895,182941563.1,4.048565331,138762139.7,3.939634938,145268219.3
,,5.878243826,182944674.6,4.088662464,138846771.6,3.9797319,145356273.9
,,5.9183507,182947786,4.128759655,138931403.6,4.019828862,145444639.6
,,5.958457631,182950275.2,4.168862518,139016657.8,4.059925823,145533316.4
,,5.998564562,182952453.2,4.208959594,139101912,4.100028514,145622304.4
,,6.03867155,182954009,4.249056728,139187788.5,4.140125476,145711292.4
,,6.078778539,182955253.6,4.289153804,139273665,4.18022238,145800280.4
,,6.118885584,182955875.9,4.32925661,139359852.7,4.220319399,145887712.6
,,6.15899263,182955875.9,4.369353686,139445729.2,4.260422205,145974211.4
,,6.199099676,182955253.6,4.409450819,139530983.4,4.300519281,146059776.8
,,6.239206779,182954320.1,4.44954801,139614681.9,4.340616472,146144408.7
,,6.279313939,182951830.9,4.489650988,139697758.1,4.380713663,146228418.4
,,6.319421156,182948408.3,4.529748236,139779900.9,4.420816526,146312739.2
,,6.359528431,182943741.1,4.569845541,139861421.4,4.460913716,146397059.9
,,6.399635821,182937518.2,4.609948576,139943253,4.50101085,146482003
,,6.439743267,182929117.2,4.650045824,140025395.7,4.541113713,146566946.1
,,6.479850886,182917915.9,4.69014313,140107849.6,4.581210789,146652200.3
,,6.519958562,182904536.6,4.730240378,140190303.5,4.621307923,146738076.8
,,6.56006641,182888357,4.770343355,140273379.7,4.661404999,146823953.4
,,6.600174372,182869688.2,4.810440546,140356455.9,4.701507805,146910141
,,6.640282506,182847596.8,4.850537794,140439843.3,4.741604881,146996328.7
,,6.680390813,182822705,4.890640714,140523541.8,4.781701957,147083138.7
,,6.720499233,182794701.8,4.930737905,140607240.2,4.821798976,147169948.6
,,6.760607826,182762964.8,4.970835096,140691249.9,4.861901782,147256447.4
,,6.800716591,182728116.4,5.010932287,140775570.7,4.901998858,147342323.9
,,6.840825527,182689534.2,5.05103515,140860202.6,4.942095991,147427578.2
,,6.880934635,182647840.5,5.091132341,140944523.4,4.982193125,147512210.1
,,6.921043915,182602101.9,5.131229531,141028221.9,5.022296045,147596530.9
,,6.961153425,182552629.6,5.171332452,141111609.2,5.062393236,147680229.4
,,7.001263049,182499734.6,5.2114297,141194374.3,5.102490427,147763927.9
,,7.041372902,182443105.9,5.251526948,141276517,5.142593347,147847937.5
,,7.081482927,182382743.4,5.291624253,141358659.8,5.182690538,147932258.3
,,7.121593124,182318336.1,5.331727288,141440491.4,5.222787671,148016890.2
,,7.161703665,182248016.9,5.371824536,141522634.1,5.262884805,148101522.1
,,7.201814091,182178942.3,5.411921842,141604776.9,5.302987668,148186776.4
,,7.241924861,182103955.9,5.452024819,141687541.9,5.343084802,148272030.6
,,7.282093041,182025546.9,5.492122068,141770307,5.383181935,148357596
,,7.322204155,181943404.2,5.532219258,141853694.3,5.423279011,148443472.5
,,7.362315383,181858149.9,5.572316506,141937081.7,5.463381817,148529660.1
,,7.402426783,181770095.4,5.612419427,142020469,5.503478893,148615847.8
,,7.442538298,181678929.4,5.652516618,142104478.7,5.543575969,148701724.3
,,7.482649984,181584651.9,5.692613808,142188488.3,5.583673046,148787600.8
,,7.522761785,181488196.4,5.732710942,142272809.1,5.623775909,148873166.2
,,7.562873759,181389251.7,5.772813862,142357441,5.663873042,148958420.4
,,7.602985789,181288129,5.812916725,142441761.8,5.703970176,149043363.5
,,7.643097877,181185139.4,5.853019646,142526082.6,5.74406158,149127995.4
,,7.683210079,181080594.1,5.893122566,142609781.1,5.7841645,149212316.2
,,7.723322396,180974181.9,5.933225486,142693479.6,5.824267363,149296948.2
,,7.763491951,180867147.4,5.973328464,142776866.9,5.864370226,149381891.2
,,7.803604325,180759801.7,6.013431384,142860254.2,5.904473089,149467145.5
,,7.8437167,180652144.9,6.053477066,142943330.4,5.944575952,149552399.7
,,7.883829016,180544488.1,6.093580044,143026406.6,5.984678815,149637965
