Time [s];RF Mag [N];Sigma [MPa];Extension [-];Paper extension [-];Paper Sigma [MPa]
0.209178;50193.4;346.6503895;0.026519876;;
0.210178;50206.3;346.7394807;0.026646685;;
0.211178;50219.1;346.8278813;0.026773559;;
0.212178;50231.8;346.9155912;0.026900432;;
0.213178;50244.4;347.0026105;0.027027242;;
0.214178;50256.8;347.0882485;0.027154115;;
0.215178;50269.1;347.173196;0.027280988;;
0.216178;50281.3;347.2574528;0.027407861;;
0.217178;50293.4;347.3410189;0.027534735;;
0.218178;50305.3;347.4232038;0.027661544;;
0.219178;50317;347.5040075;0.027788418;;
0.220178;50328.7;347.5848111;0.027915291;;
0.221178;50340.2;347.6642335;0.028042164;;
0.222178;50351.6;347.7429652;0.028169037;;
0.223178;50362.8;347.8203157;0.028295911;;
0.224178;50374;347.8976662;0.02842272;;
0.225178;50385;347.9736355;0.028549594;;
0.226178;50396;348.0496047;0.028676467;;
0.227178;50406.8;348.1241927;0.02880334;;
0.228178;50417.6;348.1987807;0.028930213;;
0.229178;50428.2;348.2719874;0.029057087;;
0.230178;50438.7;348.3445035;0.02918396;;
0.231178;50449.2;348.4170196;0.02931077;;
0.232178;50459.5;348.4881544;0.029437643;;
0.233178;50469.7;348.5585986;0.029564516;;
0.234178;50479.8;348.6283522;0.029691389;;
0.235178;50489.8;348.6974151;0.029818263;;
0.236178;50499.7;348.7657874;0.029945136;;
0.237178;50509.6;348.8341597;0.030072009;;
0.238178;50519.3;348.9011508;0.030198882;;
0.239178;50528.9;348.9674512;0.030325756;;
0.240178;50538.4;349.033061;0.030452629;;
0.241178;50547.8;349.0979802;0.030579502;;
0.242178;50557.1;349.1622087;0.030706375;;
0.243178;50566.3;349.2257466;0.030833249;;
0.244178;50575.4;349.2885939;0.030960122;;
0.245178;50584.5;349.3514412;0.031086995;;
0.246178;50593.4;349.4129072;0.031213868;;
0.247178;50602.2;349.4736826;0.031340742;;
0.248178;50610.9;349.5337673;0.031467615;;
0.249178;50619.6;349.5938521;0.031594488;;
0.250178;50628.1;349.6525556;0.031721425;;
0.251178;50636.5;349.7105685;0.031848298;;
0.252178;50644.8;349.7678907;0.031975171;;
0.253178;50653;349.8245223;0.032102045;;
0.254178;50661.2;349.8811539;0.032228918;;
0.255178;50669.2;349.9364043;0.032355791;;
0.256178;50677.2;349.9916546;0.032482664;;
0.257178;50685.1;350.0462144;0.032609538;;
0.258178;50692.9;350.1000835;0.032736411;;
0.259178;50700.6;350.1532619;0.032863284;;
0.260178;50708.2;350.2057498;0.032990221;;
0.261178;50715.7;350.257547;0.033117094;;
0.262178;50723.1;350.3086536;0.033243967;;
0.263178;50730.5;350.3597601;0.033370841;;
0.264178;50737.8;350.4101761;0.033497714;;
0.265178;50745;350.4599014;0.033624587;;
0.266178;50752.1;350.5089361;0.033751524;;
0.267178;50759.1;350.5572801;0.033878397;;
0.268178;50766;350.6049336;0.034005271;;
0.269178;50772.9;350.652587;0.034132144;;
0.270178;50779.7;350.6995498;0.034259017;;
0.271178;50786.4;350.745822;0.034385954;;
0.272178;50793;350.7914035;0.034512827;;
0.273178;50799.6;350.8369851;0.0346397;;
0.274178;50806.1;350.881876;0.034766574;;
0.275178;50812.5;350.9260763;0.034893447;;
0.276178;50818.8;350.9695859;0.035020384;;
0.277178;50825.1;351.0130956;0.035147257;;
0.278178;50831.2;351.055224;0.03527413;;
0.279178;50837.4;351.098043;0.035401067;;
0.280178;50843.4;351.1394807;0.03552794;;
0.281178;50849.4;351.1809185;0.035654813;;
0.282178;50855.3;351.2216657;0.035781687;;
0.283178;50861.2;351.2624128;0.035908623;;
0.284178;50867;351.3024693;0.036035497;;
0.285178;50872.7;351.3418352;0.03616237;;
0.286178;50878.3;351.3805104;0.036289307;;
0.287178;50883.9;351.4191857;0.03641618;;
0.288178;50889.4;351.4571703;0.036543053;;
0.289178;50894.8;351.4944643;0.03666999;;
0.290178;50900.1;351.5310676;0.036796863;;
0.291178;50905.4;351.567671;0.036923736;;
0.292178;50910.6;351.6035837;0.037050673;;
0.293178;50915.8;351.6394965;0.037177546;;
0.294178;50920.9;351.6747186;0.037304483;;
0.295178;50926;351.7099407;0.037431356;;
0.296178;50930.9;351.7437815;0.03755823;;
0.297178;50935.9;351.778313;0.037685166;;
0.298178;50940.7;351.8114632;0.03781204;;
0.299178;50945.5;351.8446134;0.037938976;;
0.300178;50950.2;351.877073;0.03806585;;
0.301178;50954.9;351.9095326;0.038192723;;
0.302178;50959.5;351.9413015;0.03831966;;
0.303178;50964;351.9723798;0.038446533;;
0.304178;50968.5;352.0034582;0.03857347;;
0.305178;50973;352.0345365;0.038700343;;
0.306178;50977.3;352.0642335;0.03882728;;
0.307178;50981.7;352.0946212;0.038954153;;
0.308178;50985.9;352.1236277;0.039081026;;
0.309178;50990.2;352.1533247;0.039207963;;
0.310178;50994.3;352.1816406;0.039334836;;
0.311178;50998.4;352.2099564;0.039461773;;
0.312178;51002.5;352.2382722;0.039588646;;
0.313178;51006.4;352.2652067;0.039715583;;
0.314178;51010.4;352.2928319;0.039842456;;
0.315178;51014.2;352.3190758;0.039969393;;
0.316178;51018.1;352.3460104;0.040096266;;
0.317178;51021.8;352.3715636;0.040223203;;
0.318178;51025.5;352.3971169;0.040350076;;
0.319178;51029.2;352.4226702;0.040477013;;
0.320178;51032.8;352.4475329;0.040603886;;
0.321178;51036.3;352.4717049;0.040730823;;
0.322178;51039.8;352.4958769;0.04085776;;
0.323178;51043.2;352.5193583;0.040984633;;
0.324178;51046.6;352.5428397;0.04111157;;
0.325178;51049.9;352.5656305;0.041238443;;
0.326178;51053.1;352.5877307;0.04136538;;
0.327178;51056.3;352.6098308;0.041492253;;
0.328178;51059.5;352.6319309;0.04161919;;
0.329178;51062.6;352.6533404;0.041746063;;
0.330178;51065.7;352.67475;0.041873;;
0.331178;51068.7;352.6954688;0.041999936;;
0.332178;51071.6;352.7154971;0.04212681;;
0.333178;51074.5;352.7355253;0.042253747;;
0.334178;51077.4;352.7555536;0.04238062;;
0.335178;51080.2;352.7748912;0.042507557;;
0.336178;51082.9;352.7935382;0.04263443;;
0.337178;51085.7;352.8128758;0.042761367;;
0.338178;51088.3;352.8308322;0.042888303;;
0.339178;51091;352.8494792;0.043015177;;
0.340178;51093.6;352.8674356;0.043142113;;
0.341178;51096.1;352.8847013;0.04326905;;
0.342178;51098.6;352.901967;0.043395923;;
0.343178;51101.1;352.9192328;0.04352286;;
0.344178;51103.5;352.9358079;0.043649797;;
0.345178;51105.9;352.952383;0.04377667;;
0.346178;51108.2;352.9682675;0.043903607;;
0.347178;51110.5;352.9841519;0.04403048;;
0.348178;51112.7;352.9993458;0.044157417;;
0.349178;51114.9;353.0145396;0.044284354;;
0.350178;51117.1;353.0297335;0.044411227;;
0.351178;51119.3;353.0449273;0.044538164;;
0.352178;51121.3;353.0587399;0.0446651;;
0.353178;51123.4;353.0732431;0.044792037;;
0.354178;51125.4;353.0870557;0.04491891;;
0.355178;51127.4;353.1008683;0.045045847;;
0.356178;51129.3;353.1139903;0.045172784;;
0.357178;51131.2;353.1271122;0.045299657;;
0.358178;51133;353.1395436;0.045426594;;
0.359178;51134.8;353.1519749;0.045553531;;
0.360178;51136.6;353.1644062;0.045680404;;
0.361178;51138.3;353.1761469;0.045807341;;
0.362178;51140;353.1878876;0.045934277;;
0.363178;51141.6;353.1989377;0.046061214;;
0.364178;51143.3;353.2106784;0.046188087;;
0.365178;51144.8;353.2210378;0.046315024;;
0.366178;51146.3;353.2313973;0.046441961;;
0.367178;51147.8;353.2417567;0.046568898;;
0.368178;51149.3;353.2521162;0.046695771;;
0.369178;51150.7;353.261785;0.046822708;;
0.370178;51152.1;353.2714538;0.046949644;;
0.371178;51153.4;353.280432;0.047076581;;
0.372178;51154.7;353.2894101;0.047203454;;
0.373178;51155.9;353.2976977;0.047330391;;
0.374178;51157.1;353.3059853;0.047457328;;
0.375178;51158.3;353.3142728;0.047584265;;
0.376178;51159.4;353.3218697;0.047711201;;
0.377178;51160.5;353.3294667;0.047838075;;
0.378178;51161.5;353.3363729;0.047965011;;
0.379178;51162.6;353.3439699;0.048091948;;
0.380178;51163.5;353.3501855;0.048218885;;
0.381178;51164.5;353.3570918;0.048345758;;
0.382178;51165.4;353.3633075;0.048472695;;
0.383178;51166.3;353.3695232;0.048599632;;
